asset_uid,asset_name,type,name,label::english (en),label::french (fr),hint::english (en),hint::french (fr),calculation,required,relevant,constraint,default,repeat_count,constraint_message::english (en),constraint_message::french (fr),appearance,choice_filter,parameters,_kuid,_qpath,question_order,_dlt_parent_id
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,count_idp,,,,,"if(selected(${F_5_intra_idp},'yes') or selected(${F_7_idp_one},'yes') or selected(${F_8_idp_two},'yes'),1,0)",,,,,,,,,,,O6GQYnUdT,,170,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_multiple resons_for_return,F_17_resons_for_return,,,,,,true,"selected(${F_6_returnee_one},'yes')","not((selected(.,'do_not_know') or selected(.,'prefer_not_to_answer')) and (count-selected(.)>1))",,,,,,,,weZxJjyAx,,171,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,text,F_17_1_resons_for_return_other,,,,,,true,"selected(${F_17_resons_for_return}, 'other')",,,,,,,,,c4gWODkji,,172,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one evacuee,F_18_evacuee,,,,,,true,"(selected(${F_7_idp_one},'yes') or selected(${F_8_idp_two},'yes')) and ${F_10_time_displacement}> date('2025-01-01')",,,,,,,,,eGm2HScUd,,173,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,end_group,group_displacement,,,,,,,,,,,,,,,,eTRf5Mlrl,,174,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,begin_group,group_cash,,,,,,,,,,,,,,,,tjoccF0bo,,175,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_multiple short_exp_types,H_1_short_exp_types,,,,,,true,,"not((selected(.,'do_not_know') or selected(.,'prefer_not_to_answer') or selected(.,'my_household_did_not_spend_any_money_over_the_last_30_days')) and (count-selected(.)>1))",,,,,,,,dFOWmtnux,,176,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,text,H_1_1_short_exp_types_other,,,,,,true,"selected(${H_1_short_exp_types}, 'other')",,,,,,,,,5Jlcc8vR6,,177,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,note,fem_hygiene,,,,,,false,"selected(${H_1_short_exp_types}, 'feminine_hygiene_products') and ${mem_woman_girl_menstruation_calc} = 0",,,,,,,,,eFYAxUtZq,,178,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,begin_group,short_exp_types_group,,,,,,,"not(selected(${H_1_short_exp_types},'my_household_did_not_spend_any_money_over_the_last_30_days') or selected(${H_1_short_exp_types},'do_not_know') or selected(${H_1_short_exp_types},'prefer_not_to_answer') or selected(${H_1_short_exp_types},''))",,,,,,,,,8QK5HJkVc,,179,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one yn,H_3_0_exp_food_yn,,,,,,true,"selected(${H_1_short_exp_types},'food_items')",,,,,,,,,krCGm4QZ0,,180,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,integer,H_3_exp_food,,,,,,true,"selected(${H_3_0_exp_food_yn},'yes')",(.>=100 and .<=1000000) and not(.=999),,,,,,,,tSWf71Rbe,,181,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one yn,H_4_0_exp_clothing_yn,,,,,,true,"selected(${H_1_short_exp_types},'clothing_and_shoes')",,,,,,,,,6hxeZv2WN,,182,hNTgnRf31uCmvw
